date,open,high,low,close,volume,symbol
2026-01-26,465.305,474.25,462.0,470.28,29291235,MSFT
2026-01-27,473.7,482.87,473.16,480.58,29213923,MSFT
2026-01-28,483.21,483.74,478.0,481.63,36875403,MSFT
2026-01-29,439.99,442.5,421.02,433.5,128855323,MSFT
2026-01-30,439.17,439.6,426.45,430.29,58566819,MSFT
2026-02-02,430.235,430.736,422.25,423.37,42219858,MSFT
2026-02-03,422.01,422.05,408.56,411.21,61424123,MSFT
2026-02-04,411.0,419.8,409.24,414.19,45012374,MSFT
2026-02-05,407.44,408.3,392.32,393.67,66289247,MSFT
2026-02-06,399.165,401.79,392.92,401.14,53515311,MSFT
2026-02-09,404.85,414.89,400.87,413.6,45480526,MSFT
2026-02-10,419.62,423.68,412.7,413.27,44857850,MSFT
2026-02-11,416.175,416.46,401.01,404.37,42491012,MSFT
2026-02-12,405.0,406.2,398.01,401.84,40802362,MSFT
2026-02-13,404.45,405.54,398.05,401.32,34091553,MSFT
2026-02-17,399.22,400.52,394.525,396.86,32078794,MSFT
2026-02-18,398.13,402.56,396.32,399.6,23223417,MSFT
2026-02-19,400.69,404.43,396.67,398.46,28234001,MSFT
2026-02-20,396.11,400.1159,395.16,397.23,34015249,MSFT
2026-02-23,395.0,395.36,383.1,384.47,43238273,MSFT
2026-02-24,384.14,389.36,381.71,389.0,33884654,MSFT
2026-02-25,390.525,401.47,390.16,400.6,43625483,MSFT
2026-02-26,404.71,407.49,398.74,401.72,34405870,MSFT
2026-02-27,390.88,396.82,389.88,392.74,51367197,MSFT
2026-03-02,392.855,401.19,390.63,398.55,35474908,MSFT
2026-03-03,393.14,406.7,392.67,403.93,38199209,MSFT
2026-03-04,401.265,411.0326,400.31,405.2,35807990,MSFT
2026-03-05,404.42,411.61,404.4,410.68,39001316,MSFT
2026-03-06,409.2,413.05,408.5101,408.96,31123860,MSFT
2026-03-09,404.915,410.21,403.5,409.41,30131854,MSFT
2026-03-10,410.03,410.2,402.93,405.76,31706375,MSFT
2026-03-11,405.57,409.01,401.59,404.88,25512139,MSFT
2026-03-12,404.63,406.12,401.71,401.86,27263887,MSFT
2026-03-13,401.0,404.8,394.25,395.55,26848001,MSFT
2026-03-16,398.07,400.63,394.79,399.95,27733721,MSFT
2026-03-17,400.27,404.4,397.745,399.41,26227450,MSFT
2026-03-18,397.125,398.0,391.0,391.79,25908485,MSFT
2026-03-19,390.1,392.49,387.06,389.02,25138772,MSFT
2026-03-20,386.79,387.0,380.12,381.87,50837100,MSFT
2026-03-23,383.9,387.21,381.68,383.0,29680059,MSFT
2026-03-24,382.36,382.47,371.85,372.74,42733625,MSFT
2026-03-25,376.92,377.06,369.63,371.04,31256146,MSFT
2026-03-26,370.815,374.7199,365.19,366.05,28622606,MSFT
